Event,CAR,Time Start (yyyy-mm-dd hh:mm:ss),Duration (min),Time End,Km start,Distance m,ID
A,S1,2021-05-01 08:00:00.000000,50,2021-05-01 08:50:00.000000,1.0,2000,ID_1
A,S2,2021-05-01 09:00:00.000000,50,2021-05-01 09:50:00.000000,1.7,5000,ID_2
A,S3,2021-05-01 10:00:00.000000,110,2021-05-01 11:50:00.000000,2.7,2000,ID_3
A,S6,2021-05-01 12:00:00.000000,50,2021-05-01 12:50:00.000000,3.4000000000000004,8000,ID_4
A,S4,2021-05-01 13:00:00.000000,110,2021-05-01 14:50:00.000000,5.0,3000,ID_5
B,S5,2021-05-01 15:00:00.000000,50,2021-05-01 15:50:00.000000,2.0,6000,ID_6
B,S1,2021-05-01 16:00:00.000000,50,2021-05-01 16:50:00.000000,2.7,1000,ID_7
B,S2,2021-05-01 08:00:00.000000,110,2021-05-01 09:50:00.000000,4.2,1500,ID_8
B,S2,2021-05-01 10:00:00.000000,50,2021-05-01 10:50:00.000000,6.2,8000,ID_9
B,S2,2021-05-01 11:00:00.000000,110,2021-05-01 12:50:00.000000,7.3,1000,ID_10
B,S2,2021-05-01 13:00:00.000000,50,2021-05-01 13:50:00.000000,8.600000000000001,4000,ID_11
C,S1,2021-05-01 08:00:00.000000,50,2021-05-01 14:50:00.000000,9.300000000000002,6000,ID_12
C,S2,2021-05-01 08:00:00.000000,110,2021-05-01 16:50:00.000000,9.800000000000002,8000,ID_13
C,S3,2021-05-01 17:00:00.000000,50,2021-05-01 17:50:00.000000,10.900000000000004,3000,ID_14
